store_id,store_name,region,format,date,customer_satisfaction,drive_thru_wait_sec,mobile_order_pct,loyalty_redemption_pct,staff_hours,waste_pct,upsell_success_pct
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-01-01,3.85,,0.246,0.523,525,0.021,0.168
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-02-01,4.2,,0.407,0.495,508,0.033,0.297
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-03-01,3.93,,0.386,0.473,465,0.045,0.164
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-04-01,4.1,,0.318,0.527,467,0.015,0.145
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-05-01,3.98,,0.477,0.612,460,0.042,0.315
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-06-01,3.73,,0.249,0.546,529,0.02,0.204
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-07-01,3.97,,0.236,0.417,486,0.038,0.163
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-08-01,3.7,,0.342,0.433,481,0.059,0.223
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-09-01,4.12,,0.337,0.422,521,0.036,0.27
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-10-01,3.87,,0.205,0.448,476,0.018,0.327
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-11-01,3.93,,0.399,0.595,432,0.034,0.145
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2023-12-01,3.91,,0.302,0.455,415,0.017,0.328
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-01-01,3.98,,0.474,0.548,461,0.028,0.137
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-02-01,4.1,,0.207,0.568,494,0.06,0.26
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-03-01,4.14,,0.355,0.575,470,0.039,0.11
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-04-01,3.81,,0.44,0.575,467,0.039,0.222
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-05-01,3.97,,0.38,0.585,412,0.014,0.277
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-06-01,4.05,,0.26,0.512,544,0.035,0.219
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-07-01,3.84,,0.251,0.379,476,0.022,0.166
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-08-01,3.88,,0.406,0.596,453,0.026,0.176
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-09-01,4.05,,0.282,0.564,522,0.027,0.247
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-10-01,3.96,,0.351,0.488,499,0.049,0.115
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-11-01,4.19,,0.332,0.382,505,0.022,0.27
S-0004,Starbucks Phoenix #4,Southwest,Kiosk,2024-12-01,3.97,,0.357,0.419,516,0.031,0.184
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-01-01,4.44,157.0,0.219,0.424,460,0.044,0.225
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-02-01,4.24,152.0,0.266,0.648,434,0.029,0.335
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-03-01,4.2,191.0,0.233,0.607,419,0.041,0.133
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-04-01,4.32,235.0,0.249,0.368,373,0.028,0.227
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-05-01,4.39,273.0,0.419,0.385,509,0.017,0.108
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-06-01,4.51,243.0,0.411,0.411,497,0.039,0.289
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-07-01,4.42,143.0,0.288,0.418,436,0.046,0.164
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-08-01,4.37,194.0,0.348,0.379,435,0.039,0.104
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-09-01,4.35,278.0,0.271,0.573,402,0.028,0.201
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-10-01,4.34,235.0,0.333,0.609,479,0.013,0.338
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-11-01,4.36,159.0,0.286,0.48,521,0.017,0.306
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2023-12-01,4.19,225.0,0.319,0.409,481,0.027,0.284
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-01-01,4.56,236.0,0.221,0.524,490,0.026,0.265
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-02-01,4.31,222.0,0.449,0.553,481,0.023,0.165
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-03-01,4.42,248.0,0.421,0.485,468,0.018,0.295
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-04-01,4.28,188.0,0.374,0.612,490,0.045,0.228
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-05-01,4.49,196.0,0.318,0.607,504,0.059,0.287
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-06-01,4.47,210.0,0.208,0.492,451,0.055,0.287
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-07-01,4.09,223.0,0.338,0.517,519,0.038,0.168
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-08-01,4.5,176.0,0.467,0.611,472,0.013,0.142
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-09-01,4.17,227.0,0.462,0.577,466,0.042,0.172
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-10-01,4.59,226.0,0.326,0.421,445,0.017,0.245
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-11-01,4.25,249.0,0.406,0.405,528,0.043,0.168
WC-0005,Starbucks Los Angeles #5,West Coast,Drive-Thru+Cafe,2024-12-01,4.27,198.0,0.325,0.587,462,0.022,0.236
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-01-01,3.69,,0.259,0.46,474,0.048,0.286
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-02-01,3.74,,0.279,0.502,471,0.053,0.342
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-03-01,3.67,,0.394,0.451,531,0.041,0.161
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-04-01,3.83,,0.318,0.535,473,0.049,0.303
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-05-01,4.38,,0.425,0.43,436,0.013,0.178
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-06-01,4.02,,0.209,0.444,469,0.046,0.155
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-07-01,3.94,,0.372,0.647,467,0.017,0.189
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-08-01,3.99,,0.271,0.456,465,0.017,0.294
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-09-01,3.58,,0.25,0.39,431,0.055,0.117
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-10-01,3.84,,0.467,0.376,464,0.051,0.323
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-11-01,3.66,,0.39,0.561,445,0.049,0.308
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2023-12-01,4.02,,0.238,0.503,435,0.041,0.14
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-01-01,4.02,,0.349,0.575,472,0.019,0.126
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-02-01,3.76,,0.353,0.614,436,0.031,0.23
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-03-01,3.92,,0.336,0.408,459,0.04,0.236
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-04-01,3.92,,0.415,0.436,451,0.044,0.15
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-05-01,3.93,,0.324,0.423,487,0.03,0.163
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-06-01,4.02,,0.221,0.548,529,0.057,0.119
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-07-01,4.12,,0.387,0.418,456,0.018,0.296
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-08-01,3.9,,0.46,0.557,497,0.055,0.14
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-09-01,3.81,,0.208,0.505,501,0.026,0.111
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-10-01,3.66,,0.251,0.505,454,0.04,0.218
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-11-01,3.71,,0.324,0.376,464,0.053,0.112
PN-0006,Starbucks Portland #6,Pacific Northwest,Cafe,2024-12-01,3.76,,0.417,0.444,470,0.016,0.233
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-01-01,4.59,224.0,0.402,0.359,479,0.021,0.3
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-02-01,4.46,196.0,0.358,0.625,419,0.055,0.259
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-03-01,4.75,181.0,0.257,0.64,480,0.014,0.202
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-04-01,4.61,267.0,0.42,0.528,520,0.023,0.322
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-05-01,4.56,225.0,0.431,0.642,424,0.04,0.186
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-06-01,4.75,229.0,0.46,0.535,558,0.021,0.281
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-07-01,4.46,172.0,0.31,0.354,481,0.049,0.164
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-08-01,4.7,227.0,0.319,0.641,543,0.035,0.264
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-09-01,4.67,227.0,0.35,0.62,590,0.029,0.255
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-10-01,4.54,170.0,0.471,0.383,417,0.015,0.111
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-11-01,4.49,144.0,0.226,0.515,540,0.059,0.255
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2023-12-01,4.7,235.0,0.245,0.426,527,0.048,0.242
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-01-01,4.42,225.0,0.376,0.581,493,0.039,0.268
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-02-01,4.71,147.0,0.447,0.51,476,0.04,0.348
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-03-01,4.63,219.0,0.21,0.469,474,0.06,0.121
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-04-01,4.67,234.0,0.271,0.635,589,0.041,0.158
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-05-01,4.85,179.0,0.283,0.614,459,0.017,0.126
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-06-01,4.51,206.0,0.276,0.536,474,0.047,0.288
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-07-01,4.67,301.0,0.306,0.589,432,0.026,0.21
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-08-01,4.52,229.0,0.448,0.529,427,0.032,0.299
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-09-01,4.52,263.0,0.369,0.569,452,0.015,0.347
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-10-01,4.43,254.0,0.3,0.581,477,0.044,0.26
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-11-01,4.59,222.0,0.289,0.445,492,0.017,0.113
M-0007,Starbucks Reno #7,Mountain,Drive-Thru+Cafe,2024-12-01,4.54,219.0,0.414,0.598,486,0.04,0.322
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-01-01,4.32,,0.363,0.568,525,0.052,0.316
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-02-01,4.18,,0.205,0.39,459,0.023,0.28
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-03-01,4.49,,0.336,0.517,473,0.016,0.294
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-04-01,4.13,,0.292,0.416,522,0.051,0.287
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-05-01,4.04,,0.248,0.365,503,0.012,0.147
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-06-01,4.27,,0.3,0.483,443,0.04,0.265
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-07-01,4.05,,0.427,0.625,511,0.026,0.104
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-08-01,4.16,,0.456,0.415,516,0.053,0.117
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-09-01,4.17,,0.44,0.385,465,0.015,0.181
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-10-01,4.46,,0.447,0.512,515,0.03,0.19
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-11-01,4.32,,0.454,0.639,509,0.025,0.232
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2023-12-01,4.09,,0.215,0.61,496,0.037,0.243
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-01-01,4.48,,0.241,0.534,493,0.033,0.324
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-02-01,4.35,,0.299,0.64,481,0.054,0.246
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-03-01,4.06,,0.416,0.524,420,0.03,0.259
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-04-01,4.19,,0.425,0.455,420,0.011,0.221
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-05-01,4.33,,0.34,0.58,448,0.053,0.163
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-06-01,4.39,,0.441,0.479,543,0.013,0.244
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-07-01,4.13,,0.414,0.447,436,0.022,0.262
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-08-01,3.99,,0.297,0.383,435,0.028,0.299
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-09-01,4.5,,0.246,0.371,412,0.054,0.183
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-10-01,4.37,,0.398,0.577,466,0.044,0.126
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-11-01,4.35,,0.315,0.555,455,0.018,0.235
M-0008,Starbucks Baltimore #8,Mid-Atlantic,Reserve,2024-12-01,4.26,,0.268,0.486,437,0.043,0.319
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-01-01,3.91,244.0,0.436,0.504,495,0.035,0.178
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-02-01,4.08,165.0,0.418,0.647,464,0.024,0.329
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-03-01,3.83,260.0,0.285,0.543,510,0.048,0.235
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-04-01,3.97,216.0,0.438,0.602,508,0.056,0.117
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-05-01,3.81,308.0,0.337,0.488,460,0.033,0.15
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-06-01,4.09,241.0,0.233,0.406,431,0.036,0.111
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-07-01,3.88,248.0,0.297,0.631,482,0.04,0.297
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-08-01,3.89,204.0,0.323,0.551,497,0.058,0.323
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-09-01,4.08,226.0,0.224,0.463,514,0.042,0.266
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-10-01,3.99,222.0,0.327,0.545,451,0.026,0.245
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-11-01,4.18,128.0,0.241,0.469,535,0.045,0.327
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2023-12-01,3.84,152.0,0.419,0.499,521,0.02,0.287
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-01-01,3.92,200.0,0.412,0.581,453,0.053,0.281
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-02-01,4.09,230.0,0.362,0.383,513,0.046,0.273
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-03-01,4.12,174.0,0.354,0.518,445,0.021,0.292
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-04-01,3.9,233.0,0.368,0.59,488,0.059,0.315
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-05-01,3.64,244.0,0.335,0.603,485,0.04,0.219
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-06-01,3.97,178.0,0.292,0.603,517,0.013,0.332
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-07-01,3.81,205.0,0.389,0.619,552,0.059,0.16
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-08-01,3.86,187.0,0.319,0.435,515,0.032,0.101
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-09-01,3.87,137.0,0.377,0.541,413,0.057,0.198
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-10-01,4.05,221.0,0.41,0.354,421,0.024,0.306
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-11-01,3.56,217.0,0.461,0.377,417,0.014,0.153
N-0009,Starbucks Providence #9,Northeast,Drive-Thru+Cafe,2024-12-01,4.12,198.0,0.366,0.637,483,0.05,0.186
S-0010,Starbucks Nashville #10,Southeast,Cafe,2023-01-01,3.58,,0.472,0.647,449,0.031,0.137
S-0010,Starbucks Nashville #10,Southeast,Cafe,2023-02-01,3.58,,0.325,0.621,487,0.019,0.302
