region,quarter,date,total_revenue_millions,total_stores,new_stores_opened,avg_customer_satisfaction,market_share_pct,yoy_revenue_growth_pct,digital_order_pct
Midwest,2024-Q2,2024-04-01,296.0,142,2,4.33,8.75,9.85,0.318
Mid-Atlantic,2024-Q2,2024-04-01,316.6,162,2,4.37,10.01,5.42,0.357
Southwest,2024-Q2,2024-04-01,242.0,125,3,4.53,7.83,9.79,0.489
Mountain,2024-Q2,2024-04-01,200.0,101,1,4.35,6.19,7.21,0.388
West Coast,2024-Q3,2024-07-01,482.5,233,6,4.02,14.5,10.65,0.398
Northeast,2024-Q3,2024-07-01,409.6,216,3,4.25,12.93,10.18,0.466
Pacific Northwest,2024-Q3,2024-07-01,325.3,155,7,4.15,9.33,11.16,0.426
Southeast,2024-Q3,2024-07-01,342.8,172,3,4.14,10.72,7.93,0.372
Midwest,2024-Q3,2024-07-01,279.1,144,1,4.46,8.79,5.19,0.493
Mid-Atlantic,2024-Q3,2024-07-01,327.3,164,5,4.59,9.82,11.45,0.3
Southwest,2024-Q3,2024-07-01,257.8,127,6,4.05,7.51,5.79,0.509
Mountain,2024-Q3,2024-07-01,211.1,103,1,4.07,6.2,12.04,0.364
West Coast,2024-Q4,2024-10-01,478.2,236,6,4.58,14.44,11.42,0.493
Northeast,2024-Q4,2024-10-01,452.9,219,4,4.45,12.91,5.79,0.436
Pacific Northwest,2024-Q4,2024-10-01,303.9,157,4,4.56,9.43,4.86,0.393
Southeast,2024-Q4,2024-10-01,341.1,174,2,4.32,10.62,10.1,0.508
Midwest,2024-Q4,2024-10-01,269.0,146,6,4.25,8.95,6.88,0.415
Mid-Atlantic,2024-Q4,2024-10-01,338.4,166,7,4.03,9.58,9.89,0.355
Southwest,2024-Q4,2024-10-01,249.8,129,3,4.21,7.43,11.23,0.507
Mountain,2024-Q4,2024-10-01,222.0,104,4,4.04,6.36,10.21,0.42
